Country,Global_innovation_indices,Business_Sophistication,Creative_output,Humain_capital_and_Research,Infrastructures,Institutions,Knowledge_and_technology_outputs,Market_sophistication,Pollution
Sweden,63.1,68.1,52.9,64.1,62.6,88.8,60.3,64.6,18.44
Singapore,57.8,62.7,42.9,58.7,57.8,95.1,48.1,75.9,33.16
Switzerland,65.5,62.6,60.2,60.7,62.7,87.3,64.9,71.5,20.09
Netherlands,58.6,61.0,52.2,55.9,57.7,88.9,54.8,55.2,25.28
Finland,58.4,61.0,42.9,62.4,59.5,93.3,56.5,58.7,11.86
Israel,53.4,58.7,36.3,51.6,50.2,76.2,55.9,66.8,58.42
Luxembourg,49.0,57.8,54.4,40.0,52.5,79.8,30.1,49.0,23.27
Japan,54.5,57.3,42.1,50.8,59.8,88.8,48.3,62.1,39.4
Denmark,57.3,55.2,47.7,62.3,60.8,88.8,47.6,68.0,20.4
Germany,57.3,54.5,50.0,62.7,55.6,84.3,53.3,57.8,27.48
China,54.8,54.3,46.5,50.6,54.6,64.4,58.5,61.5,81.47
Malta,47.1,53.7,52.0,39.3,56.4,73.9,28.3,47.0,77.76
Austria,50.9,52.3,39.0,59.9,60.0,86.2,40.3,51.9,19.2
Belgium,49.2,51.7,35.1,59.7,52.0,80.8,42.3,54.1,50.27
Ireland,50.7,51.5,36.7,48.5,62.1,84.3,47.6,49.7,33.59
Iceland,51.8,50.4,50.7,49.7,54.5,86.8,37.0,56.8,16.24
France,55.0,50.4,52.6,55.4,57.1,83.4,44.3,61.0,41.79
Canada,53.1,50.1,41.9,52.4,53.7,90.1,38.3,84.7,28.13
United Kingdom,59.8,49.7,54.0,58.2,59.7,86.6,52.3,78.1,40.25
United Arab Emirates,43.0,47.2,33.8,49.9,58.1,78.4,22.2,56.7,50.44
Norway,50.4,45.7,39.3,56.8,64.8,92.6,35.4,57.6,18.14
Hong Kong,53.7,45.2,64.7,48.6,60.3,88.1,21.6,78.7,67.3
Czech Republic,49.0,43.5,40.3,43.0,56.0,76.9,48.2,49.5,36.3
Australia,48.3,43.0,39.6,57.4,55.7,88.3,29.1,66.4,23.48
Slovenia,44.1,42.8,34.3,48.3,53.9,82.9,33.0,45.1,22.65
Cyprus,46.7,42.6,41.3,38.7,53.9,80.4,39.4,50.0,56.77
Estonia,49.9,39.9,45.3,42.9,59.8,81.1,38.4,66.4,19.01
New Zealand,47.5,37.7,39.8,54.2,55.5,90.7,29.7,63.0,23.81
Hungary,42.7,37.5,30.9,42.5,52.6,71.7,39.5,46.6,47.81
Italy,45.7,36.7,35.8,46.0,54.2,75.5,41.7,50.7,53.93
Philippines,35.3,36.3,24.2,27.9,36.1,56.3,37.1,42.9,74.06
Brazil,34.2,36.0,23.5,37.5,41.2,60.6,25.3,44.9,54.53
Spain,45.4,35.5,36.2,47.4,58.2,77.5,36.2,54.2,39.62
Thailand,37.2,34.7,27.3,31.7,43.0,64.2,29.7,55.6,75.39
Peru,31.2,34.3,21.2,34.3,38.8,62.5,14.9,52.2,82.69
Poland,39.9,34.2,29.6,42.3,50.1,73.2,30.6,48.3,54.33
Malaysia,41.9,34.1,34.5,40.6,46.7,72.3,33.4,55.3,62.58
Latvia,40.0,34.1,33.8,37.7,45.1,78.9,27.8,50.1,33.91
Portugal,44.2,33.6,39.3,49.3,52.6,80.4,31.9,48.6,29.57
Bulgaria,42.4,32.6,41.1,31.7,51.7,69.8,36.0,45.1,64.48
Slovakia,40.2,32.5,33.0,32.8,50.5,72.8,34.3,44.9,39.08
Lithuania,39.9,31.5,33.6,38.7,49.9,76.4,25.8,53.7,27.01
Turkey,38.3,30.8,35.3,48.5,47.0,56.0,25.3,49.7,66.15
Chile,35.1,30.6,25.3,35.2,47.4,72.7,22.3,46.4,78.96
Costa Rica,34.5,30.0,31.3,32.4,40.7,63.1,22.9,43.0,44.07
Colombia,31.7,29.4,19.8,28.4,44.9,66.2,19.2,50.8,62.88
South Africa,32.7,29.3,20.6,31.4,36.3,66.8,21.9,57.0,56.96
India,36.4,29.2,23.1,34.1,36.8,64.4,34.5,55.5,79.62
Ukraine,35.6,28.9,30.9,38.2,32.3,56.2,32.3,42.3,64.31
Romania,35.6,28.0,22.2,28.9,51.5,68.1,31.8,44.7,58.42
Croatia,37.3,27.7,28.2,37.6,53.8,69.8,26.9,46.1,30.58
Mexico,34.5,27.2,28.5,33.2,41.8,61.0,24.8,48.8,61.24
Argentina,29.8,26.7,21.9,37.0,42.5,52.8,18.7,37.5,50.73
Jamaica,29.6,26.0,29.6,25.0,29.9,71.6,13.5,36.0,66.27
Nepal,22.5,25.9,14.5,15.2,30.7,49.3,8.7,45.8,84.26
Greece,36.3,25.9,22.9,54.3,48.5,69.2,25.2,45.2,51.95
Georgia,32.4,25.6,21.8,32.5,36.3,76.2,18.1,53.9,69.7
Sri Lanka,25.1,25.6,15.8,13.5,39.7,47.5,19.7,35.8,59.92
Serbia,35.0,25.5,21.4,32.3,48.7,69.3,29.1,48.4,61.2
Lebanon,25.1,25.4,17.2,24.9,30.4,50.1,14.1,42.0,89.35
North Macedonia,34.1,25.4,19.5,30.2,46.9,68.9,22.7,63.7,80.03
Montenegro,35.4,25.3,35.9,32.7,43.2,69.6,17.1,50.9,46.91
Albania,28.0,25.0,20.3,22.7,43.0,64.9,12.0,44.1,78.59
Belarus,32.6,24.4,17.0,42.1,43.4,57.8,30.3,39.8,44.47
Mongolia,34.2,24.2,37.5,27.7,33.7,61.2,15.0,63.4,91.84
Nigeria,20.1,23.4,11.7,11.9,24.6,51.0,8.3,39.7,87.35
Kenya,27.5,23.4,16.7,21.9,25.9,59.9,21.1,48.8,75.88
Kazakhstan,28.6,23.0,14.3,31.7,44.4,69.8,15.0,43.8,72.62
Guatemala,24.1,22.9,21.7,12.2,23.7,48.3,14.2,44.4,72.49
Uruguay,32.2,22.4,24.5,31.7,45.4,70.3,21.4,37.6,45.67
Jordan,28.3,21.9,18.3,26.2,30.1,64.4,18.0,49.7,76.09
Dominican Republic,25.1,21.8,19.0,18.5,39.6,55.1,11.7,39.5,75.08
Pakistan,24.4,21.4,18.4,14.0,25.4,54.0,19.2,35.1,73.36
Saudi Arabia,31.8,21.1,20.9,45.7,45.1,53.3,19.6,51.9,64.13
Bahrain,28.8,21.1,14.8,26.3,50.5,69.4,15.8,44.3,71.57
Azerbaijan,28.4,20.7,23.5,24.2,35.1,65.5,10.5,53.2,75.44
Oman,29.4,20.2,22.5,37.9,45.1,62.3,11.7,43.2,37.59
Qatar,31.5,19.9,24.7,29.8,52.3,66.0,16.8,43.2,60.18
Ecuador,25.4,19.9,18.5,20.5,39.6,44.1,13.2,50.3,58.34
Armenia,31.4,19.9,30.6,21.7,38.1,64.1,21.4,40.4,60.23
Kuwait,29.9,18.7,18.0,31.4,49.6,57.7,22.1,41.4,66.72
Zimbabwe,21.9,18.7,15.7,24.6,19.8,40.7,11.7,46.7,74.44
Panama,28.0,18.6,25.8,19.5,46.8,62.8,10.9,40.7,59.77
Morocco,29.3,18.1,22.8,27.5,36.3,61.6,20.1,41.9,70.38
Egypt,25.1,18.0,15.5,21.8,33.5,49.3,19.4,40.9,84.35
Ghana,22.3,17.8,16.9,18.9,31.7,46.2,11.9,36.7,88.98
Indonesia,27.1,17.5,17.5,22.4,41.4,51.2,18.3,48.5,67.08
Mauritius,35.2,17.1,36.3,30.6,42.4,81.2,13.6,55.5,56.19
Tunisia,30.7,16.5,20.6,42.7,34.2,61.4,24.0,40.7,70.85
Cambodia,22.8,16.2,16.3,17.6,28.9,50.5,11.2,45.8,78.21
Bangladesh,20.2,15.4,9.6,10.1,32.0,45.5,13.7,40.9,84.91
Algeria,19.9,14.7,10.3,29.8,31.8,52.5,8.1,23.7,65.32
Ethiopia,18.6,14.5,8.7,10.5,24.6,48.4,16.2,26.1,77.74
Myanmar,18.4,8.7,7.9,17.7,26.3,45.4,14.4,29.8,89.77
